Samsung Galaxy A07 4GB+64GB - PTA APPROVED,924758885,30999,34999,11% Off,Sindh,4.811224489795919,392,8.2K sold,Samsung Flagship Store,Samsung,https://www.daraz.pk/products/samsung-galaxy-a07-4gb64gb-pta-approved-i924758885.html
Oppo Reno13 5G - (12+256),946685078,119999,149999,20% Off,Punjab,,,N/A,Retail - Oppo Flagship Store,OPPO Pakistan Official,https://www.daraz.pk/products/oppo-reno13-5g-12256-i946685078.html
Apple iPhone 17 Pro Max - 256GB + 20W Free Charger,1958136639,506999,565000,10% Off,Punjab,5.0,4,30 sold,Daraz Retail Seller,Apple,https://www.daraz.pk/products/apple-iphone-17-pro-max-256gb-20w-free-charger-i1958136639.html
Nothing 4a Pro 12GB / 256GB- Get Free CMF Buds2 Pro,1953863594,238999,244999,2% Off,Punjab,,,N/A,Daraz Retail Seller,Nothing,https://www.daraz.pk/products/nothing-4a-pro-12gb-256gb-get-free-cmf-buds2-pro-i1953863594.html
Samsung Galaxy S26 - 512 GB,1947949298,334999,379999,12% Off,Sindh,,0,N/A,Samsung Flagship Store,Samsung,https://www.daraz.pk/products/samsung-galaxy-512-gb-i1947949298.html
OPPO Reno13 5G | 12GB RAM + 256GB ROM - Refurbished (Open Box),697916197,97499,149999,35% Off,Punjab,4.619047619047619,21,73 sold,OPPO OFFICIAL STORE,OPPO,https://www.daraz.pk/products/13-5-12-256-i697916197.html
"Vivo Y17s - 6.56 Inches HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB USABLE + 128GB SYSTEM RESERVED) - Phone Only, Color Mix",1961842308,23700,29999,21% Off,Sindh,5.0,0,N/A,AL Wahid (Karachi),No Brand,https://www.daraz.pk/products/y17s-hd-pta-8gb-656-gb-i1961842308.html
Tecno Camon 40 Pro 8GB+256GB PTA APPROVED,916096591,69999,75999,8% Off,Punjab,4.937142857142857,175,5.7K sold,Retail - Tecno Flagship Store,Tecno,https://www.daraz.pk/products/tecno-camon-40-pro-8gb256gb-pta-approved-i916096591.html
Vivo Y19s - 6.74 Inches IPS LCD Display - 8+1GB RAM - 256GB Storage (128GB Usable + 128GB System Reserved) - Official PTA Approved - Fingerprint Sensor - (Phone and Universal Box. No Charger and No Accessories Included - Mix Color),1957742597,23999,40999,41% Off,Sindh,5.0,1,N/A,AL Wahid (Karachi),No Brand,https://www.daraz.pk/products/y19s-ips-lcd-8-1gb-1gb-674-gb-256gb-pta-i1957742597.html
Samsung Galaxy A17 8GB + 256 GB,924762805,64999,82999,22% Off,Sindh,4.888888888888889,126,2.8K sold,Samsung Flagship Store,Samsung,https://www.daraz.pk/products/samsung-galaxy-a17-8gb-256-gb-i924762805.html
Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality | Vivo Mobile Phone | Globally Customized,1958245084,8549,15000,43% Off,Sindh,4.333333333333333,3,21 sold,Sasta Karachi Electronics,No Brand,https://www.daraz.pk/products/66-100-4-64-332-13-i1958245084.html
"Redmi Note 14 Pro 8GBRAM 256GB ROM 6.67"" AMOLED display 5500mAh (typ) Battery PTA Approved Official One Year Brand Warranty",654390601,82250,N/A,N/A,Punjab,5.0,3,23 sold,Xiaomi Pakistan Official ,Xiaomi,https://www.daraz.pk/products/redmi-note-14-pro-8gbram-256gb-rom-667-amoled-display-5500mah-typ-battery-pta-approved-official-one-year-brand-warranty-i654390601.html
Kyocera E-6910 Rugged Phone | Military Grade Waterproof Dustproof Shockproof |  Japanese Brand Durable Smartphone | Single Sim Approved | With Charger & Handsfree |  Best Rugged Phone Pakistan,1962050265,21993,40000,45% Off,Sindh,,,N/A,SEL WEL,Daraz Like New,https://www.daraz.pk/products/kyocera-e-6910-rugged-phone-military-grade-waterproof-dustproof-shockproof-japanese-brand-durable-smartphone-single-sim-approved-with-charger-handsfree-best-rugged-phone-pakistan-i1962050265.html
"Schok Volt SV55 (Only Wifi / SIM Closed) - 2GB RAM 16GB ROM - 5.5"" Display Budget Slightly Used Android Phone Best for WiFi and Gaming ONLY MOBILE PHONE",1957749805,5999,N/A,N/A,Sindh,5.0,1,N/A,The Smart Communication,No Brand,https://www.daraz.pk/products/55-2-16-55-i1957749805.html
